Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
MR;LR01;DO02;Reject H0;0.03;-5.4885;0.0002485673649599307;99.9751;False
MR;LR01;DO03;Reject H0;0.03;-6.3454;7.701752430732695e-05;99.9923;False
MR;LR01;DO04;Reject H0;0.03;-6.7495;3.127139070665011e-05;99.9969;False
MR;LR01;DO05;Reject H0;0.03;-7.1898;2.0011660296820786e-05;99.998;False
MR;LR01;DO06;Reject H0;0.03;-7.9104;1.5100564875467153e-05;99.9985;False
MR;LR01;DO07;Reject H0;0.03;-7.9982;2.458784595233428e-07;100.0;True
MR;LR01;DO08;Reject H0;0.03;-9.514;1.2039477727161874e-06;99.9999;False
MR;LR01;DO09;Reject H0;0.03;-8.7049;7.214635984829551e-08;100.0;True
MR;LR01;HD50;Reject H0;0.03;-7.321;9.42003000727572e-06;99.9991;False
MR;LR01;HD350;Reject H0;0.03;-6.7597;2.334986487473691e-05;99.9977;False
MR;LR01;HD500;Reject H0;0.03;-6.9027;2.0354218492074844e-05;99.998;False
MR;LR001;LR0001;Fail to reject H0;0.03;-2.1286;0.047354618420543074;95.2645;True
MR;LR001;LR00001;Reject H0;0.03;-3.2624;0.0043252001533227;99.5675;True
MR;LR001;DO01;Reject H0;0.03;5.0479;8.371199624401033e-05;99.9916;True
MR;LR001;DO02;Reject H0;0.03;4.349;0.0003867019114634582;99.9613;True
MR;LR001;DO03;Reject H0;0.03;2.4745;0.02352204099139066;97.6478;True
MR;LR001;DO04;Fail to reject H0;0.03;1.1549;0.2632247879571026;73.6775;True
MR;LR001;DO05;Fail to reject H0;0.03;0.3717;0.7144465239911657;28.5553;True
MR;LR001;DO06;Fail to reject H0;0.03;-0.785;0.4426454071035285;55.7355;True
MR;LR001;DO07;Fail to reject H0;0.03;-1.9814;0.0630271272966709;93.6973;True
MR;LR001;DO08;Reject H0;0.03;-4.4523;0.00030778561817823986;99.9692;True
MR;LR001;DO09;Reject H0;0.03;-3.2999;0.003982062796271139;99.6018;True
MR;LR001;HD50;Fail to reject H0;0.03;-0.3333;0.7427571678174878;25.7243;True
MR;LR001;HD350;Fail to reject H0;0.03;0.852;0.40539673690833544;59.4603;True
MR;LR001;HD500;Fail to reject H0;0.03;0.6312;0.5358490780808213;46.4151;True
MR;LR0001;LR00001;Fail to reject H0;0.03;-1.0803;0.2942629729546226;70.5737;True
MR;LR0001;DO01;Reject H0;0.03;7.3934;7.39403053353457e-07;99.9999;True
MR;LR0001;DO02;Reject H0;0.03;7.4319;6.882868027547502e-07;99.9999;True
MR;LR0001;DO03;Reject H0;0.03;5.3495;4.384808673276566e-05;99.9956;True
MR;LR0001;DO04;Reject H0;0.03;3.577;0.0021546779000914057;99.7845;True
MR;LR0001;DO05;Reject H0;0.03;2.8078;0.011641674249184697;98.8358;True
MR;LR0001;DO06;Fail to reject H0;0.03;1.9189;0.07098927404011053;92.9011;True
MR;LR0001;DO07;Fail to reject H0;0.03;-0.3037;0.7648305521743132;23.5169;True
MR;LR0001;DO08;Reject H0;0.03;-2.5218;0.021320208390366666;97.868;True
MR;LR0001;DO09;Fail to reject H0;0.03;-1.7754;0.09274653217278389;90.7253;True
MR;LR0001;HD50;Fail to reject H0;0.03;1.7267;0.10134792316372603;89.8652;True
MR;LR0001;HD350;Reject H0;0.03;3.0697;0.006601954014675984;99.3398;True
MR;LR0001;HD500;Reject H0;0.03;2.8673;0.010243245000540616;98.9757;True
MR;LR00001;DO01;Reject H0;0.03;8.7821;6.334354440824744e-08;100.0;True
MR;LR00001;DO02;Reject H0;0.03;9.5333;1.853865533553524e-08;100.0;True
MR;LR00001;DO03;Reject H0;0.03;7.2095;1.0433678965296243e-06;99.9999;True
MR;LR00001;DO04;Reject H0;0.03;4.9751;9.799444713576453e-05;99.9902;True
MR;LR00001;DO05;Reject H0;0.03;4.2032;0.0005343901198213503;99.9466;True
MR;LR00001;DO06;Reject H0;0.03;3.5496;0.002290179154400467;99.771;True
MR;LR00001;DO07;Fail to reject H0;0.03;0.4837;0.6344387534702904;36.5561;True
MR;LR00001;DO08;Fail to reject H0;0.03;-1.6596;0.11432371452355411;88.5676;True
MR;LR00001;DO09;Fail to reject H0;0.03;-1.1004;0.29083743892474573;70.9163;False
MR;LR00001;HD50;Reject H0;0.03;2.802;0.011785634577846447;98.8214;True
MR;LR00001;HD350;Reject H0;0.03;4.2903;0.00044044917330648937;99.956;True
MR;LR00001;HD500;Reject H0;0.03;4.0984;0.0006746310638707108;99.9325;True
MR;DO01;DO02;Fail to reject H0;0.03;-1.8118;0.08673189744534324;91.3268;True
MR;DO01;DO03;Reject H0;0.03;-3.5578;0.002248736453027274;99.7751;True
MR;DO01;DO04;Reject H0;0.03;-4.3037;0.00042760190171766744;99.9572;True
MR;DO01;DO05;Reject H0;0.03;-5.1831;6.257501186889254e-05;99.9937;True
MR;DO01;DO06;Reject H0;0.03;-6.8996;1.1895679692953898e-05;99.9988;False
MR;DO01;DO07;Reject H0;0.03;-6.2801;6.3833704184483614e-06;99.9994;True
MR;DO01;DO08;Reject H0;0.03;-9.5996;1.6686838066944958e-08;100.0;True
MR;DO01;DO09;Reject H0;0.03;-7.3484;8.03998484978193e-07;99.9999;True
MR;DO01;HD50;Reject H0;0.03;-5.2817;5.066996781151393e-05;99.9949;True
MR;DO01;HD350;Reject H0;0.03;-4.2833;0.0004473874837171732;99.9553;True
MR;DO01;HD500;Reject H0;0.03;-4.5557;0.0002450064623234054;99.9755;True
MR;DO02;DO03;Reject H0;0.03;-2.4248;0.026063704550033182;97.3936;True
MR;DO02;DO04;Reject H0;0.03;-3.4255;0.0030163699551724412;99.6984;True
MR;DO02;DO05;Reject H0;0.03;-4.5945;0.00022497029703876122;99.9775;True
MR;DO02;DO06;Reject H0;0.03;-7.3058;8.706540823094893e-07;99.9999;True
MR;DO02;DO07;Reject H0;0.03;-5.7595;6.3170691636908e-05;99.9937;False
MR;DO02;DO08;Reject H0;0.03;-10.3064;5.601533490889982e-09;100.0;True
MR;DO02;DO09;Reject H0;0.03;-6.9646;1.1756716082276353e-05;99.9988;False
MR;DO02;HD50;Reject H0;0.03;-4.6307;0.0002077501584590441;99.9792;True
MR;DO02;HD350;Reject H0;0.03;-3.3956;0.003222568008948191;99.6777;True
MR;DO02;HD500;Reject H0;0.03;-3.739;0.0015022965484850367;99.8498;True
MR;DO03;DO04;Fail to reject H0;0.03;-1.3397;0.19700431876486532;80.2996;True
MR;DO03;DO05;Reject H0;0.03;-2.4147;0.026611592174416276;97.3388;True
MR;DO03;DO06;Reject H0;0.03;-4.612;0.00021645843663468215;99.9784;True
MR;DO03;DO07;Reject H0;0.03;-4.2376;0.0009440916916262528;99.9056;False
MR;DO03;DO08;Reject H0;0.03;-8.2127;1.683264853888074e-07;100.0;True
MR;DO03;DO09;Reject H0;0.03;-5.5412;0.00010717654392997886;99.9893;False
MR;DO03;HD50;Reject H0;0.03;-2.8036;0.011745842934600242;98.8254;True
MR;DO03;HD350;Fail to reject H0;0.03;-1.4956;0.15209455795164228;84.7905;True
