Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
R8;ES10;LR01;Reject H0;0.03;9.6868;1.4540292616279709e-08;100.0;True
R8;ES10;LR001;Reject H0;0.03;-3.8713;0.0011186870729862374;99.8881;True
R8;ES10;LR0001;Fail to reject H0;0.03;0.7866;0.44176012200492054;55.824;True
R8;ES10;LR00001;Fail to reject H0;0.03;1.5751;0.14268695243044305;85.7313;False
R8;ES10;DO01;Fail to reject H0;0.03;-1.4642;0.16038785406814696;83.9612;True
R8;ES10;DO02;Fail to reject H0;0.03;-0.9459;0.356724512537125;64.3275;True
R8;ES10;DO03;Fail to reject H0;0.03;-0.2387;0.8140113896065866;18.5989;True
R8;ES10;DO04;Fail to reject H0;0.03;-1.5296;0.14350505972081473;85.6495;True
R8;ES10;DO05;Fail to reject H0;0.03;-1.7376;0.09935168517835269;90.0648;True
R8;ES10;DO06;Reject H0;0.03;-2.465;0.023989672387408373;97.601;True
R8;ES10;DO07;Fail to reject H0;0.03;-1.2333;0.23333297879862536;76.6667;True
R8;ES10;DO08;Fail to reject H0;0.03;-1.3483;0.19427007241511252;80.573;True
R8;ES10;DO09;Fail to reject H0;0.03;-0.3668;0.718065074914956;28.1935;True
R8;ES10;HD50;Fail to reject H0;0.03;0.3016;0.7663905623422334;23.3609;True
R8;ES10;HD350;Fail to reject H0;0.03;0.3986;0.6948693610039842;30.5131;True
R8;ES10;HD500;Reject H0;0.03;2.5709;0.02328745592985212;97.6713;False
R8;ES100;ES1000;Reject H0;0.03;6.6752;2.9133902070122406e-06;99.9997;True
R8;ES100;LR01;Reject H0;0.03;7.3472;8.057790270379989e-07;99.9999;True
R8;ES100;LR001;Reject H0;0.03;-10.6512;3.353759428235976e-09;100.0;True
R8;ES100;LR0001;Reject H0;0.03;-4.5974;0.00022351333058874496;99.9776;True
R8;ES100;LR00001;Reject H0;0.03;-4.0102;0.0008208964347674022;99.9179;True
R8;ES100;DO01;Reject H0;0.03;-6.7649;2.4454509081825427e-06;99.9998;True
R8;ES100;DO02;Reject H0;0.03;-6.6242;3.2204290743376395e-06;99.9997;True
R8;ES100;DO03;Reject H0;0.03;-4.9739;9.824537387563101e-05;99.9902;True
R8;ES100;DO04;Reject H0;0.03;-6.7544;2.496100405951531e-06;99.9998;True
R8;ES100;DO05;Reject H0;0.03;-6.2149;7.278632292126692e-06;99.9993;True
R8;ES100;DO06;Reject H0;0.03;-8.4354;1.142815287952326e-07;100.0;True
R8;ES100;DO07;Reject H0;0.03;-7.2232;1.0168854455910183e-06;99.9999;True
R8;ES100;DO08;Reject H0;0.03;-5.9723;1.1928390448510236e-05;99.9988;True
R8;ES100;DO09;Reject H0;0.03;-3.7404;0.001497596773360721;99.8502;True
R8;ES100;HD50;Reject H0;0.03;-2.9797;0.008031686128168661;99.1968;True
R8;ES100;HD350;Reject H0;0.03;-4.3506;0.00038536727530699667;99.9615;True
R8;ES100;HD500;Fail to reject H0;0.03;-2.3313;0.03156117775783359;96.8439;True
R8;ES1000;LR01;Fail to reject H0;0.03;2.0796;0.05212922219289162;94.7871;True
R8;ES1000;LR001;Reject H0;0.03;-17.7807;7.26159548670989e-13;100.0;True
R8;ES1000;LR0001;Reject H0;0.03;-11.9896;5.117598746652473e-10;100.0;True
R8;ES1000;LR00001;Reject H0;0.03;-12.0332;1.8788541778677375e-08;100.0;False
R8;ES1000;DO01;Reject H0;0.03;-13.2808;9.700418566274845e-11;100.0;True
R8;ES1000;DO02;Reject H0;0.03;-13.6885;5.897269089177482e-11;100.0;True
R8;ES1000;DO03;Reject H0;0.03;-11.2252;1.4663585574321306e-09;100.0;True
R8;ES1000;DO04;Reject H0;0.03;-13.1743;1.1069985076906213e-10;100.0;True
R8;ES1000;DO05;Reject H0;0.03;-11.8015;6.59830665763802e-10;100.0;True
R8;ES1000;DO06;Reject H0;0.03;-15.3022;9.22803893822161e-12;100.0;True
R8;ES1000;DO07;Reject H0;0.03;-14.5007;2.268066500370424e-11;100.0;True
R8;ES1000;DO08;Reject H0;0.03;-11.8055;6.562174666038279e-10;100.0;True
R8;ES1000;DO09;Reject H0;0.03;-8.3014;1.4416589139365642e-07;100.0;True
R8;ES1000;HD50;Reject H0;0.03;-7.532;5.719576167039092e-07;99.9999;True
R8;ES1000;HD350;Reject H0;0.03;-10.8151;2.639446058016802e-09;100.0;True
R8;ES1000;HD500;Reject H0;0.03;-9.9101;1.0260064507802396e-08;100.0;True
R8;LR01;LR001;Reject H0;0.03;-15.4924;1.354652409840228e-09;100.0;False
R8;LR01;LR0001;Reject H0;0.03;-11.1855;6.539157231553419e-08;100.0;False
R8;LR01;LR00001;Reject H0;0.03;-10.9866;2.9732822661492104e-07;100.0;False
R8;LR01;DO01;Reject H0;0.03;-12.4948;2.626044204760158e-10;100.0;True
R8;LR01;DO02;Reject H0;0.03;-12.5611;2.4099352746724386e-10;100.0;True
R8;LR01;DO03;Reject H0;0.03;-10.9968;2.030235456447609e-09;100.0;True
R8;LR01;DO04;Reject H0;0.03;-12.4533;2.771758737148811e-10;100.0;True
R8;LR01;DO05;Reject H0;0.03;-11.6704;7.891542133215281e-10;100.0;True
R8;LR01;DO06;Reject H0;0.03;-13.8487;4.866391758513876e-11;100.0;True
R8;LR01;DO07;Reject H0;0.03;-13.0526;1.0646167449325698e-08;100.0;False
R8;LR01;DO08;Reject H0;0.03;-11.5933;8.773075420809602e-10;100.0;True
R8;LR01;DO09;Reject H0;0.03;-8.9169;5.055049547674755e-08;100.0;True
R8;LR01;HD50;Reject H0;0.03;-8.2439;1.593804364520495e-07;100.0;True
R8;LR01;HD350;Reject H0;0.03;-10.6111;3.5575679616278573e-09;100.0;True
R8;LR01;HD500;Reject H0;0.03;-9.616;4.3309437398603333e-07;100.0;False
R8;LR001;LR0001;Reject H0;0.03;7.3271;8.367011754614687e-07;99.9999;True
R8;LR001;LR00001;Reject H0;0.03;9.6623;1.5113014172705335e-08;100.0;True
R8;LR001;DO01;Reject H0;0.03;3.0173;0.007402238170670903;99.2598;True
R8;LR001;DO02;Reject H0;0.03;4.3261;0.0004068712417107749;99.9593;True
R8;LR001;DO03;Reject H0;0.03;4.4239;0.0003276562698146733;99.9672;True
R8;LR001;DO04;Reject H0;0.03;2.8383;0.01090208626399327;98.9098;True
R8;LR001;DO05;Fail to reject H0;0.03;1.8698;0.07786007030659024;92.214;True
R8;LR001;DO06;Fail to reject H0;0.03;1.9087;0.07237875979925128;92.7621;True
R8;LR001;DO07;Reject H0;0.03;4.1467;0.0006059274429857617;99.9394;True
R8;LR001;DO08;Reject H0;0.03;2.5678;0.019363496042309983;98.0637;True
R8;LR001;DO09;Reject H0;0.03;2.7363;0.018335029327867753;98.1665;False
R8;LR001;HD50;Reject H0;0.03;3.5098;0.004444201459153152;99.5556;False
R8;LR001;HD350;Reject H0;0.03;5.5211;3.0486965885557184e-05;99.997;True
R8;LR001;HD500;Reject H0;0.03;10.3019;5.64018077238886e-09;100.0;True
R8;LR0001;LR00001;Fail to reject H0;0.03;1.2833;0.21565446426169815;78.4346;True
R8;LR0001;DO01;Reject H0;0.03;-3.1292;0.005796663446378413;99.4203;True
R8;LR0001;DO02;Reject H0;0.03;-2.6162;0.017492642663226185;98.2507;True
R8;LR0001;DO03;Fail to reject H0;0.03;-1.2953;0.21159680793128333;78.8403;True
R8;LR0001;DO04;Reject H0;0.03;-3.1765;0.005225479776354774;99.4775;True
R8;LR0001;DO05;Reject H0;0.03;-3.0857;0.006376081241885954;99.3624;True
R8;LR0001;DO06;Reject H0;0.03;-4.8387;0.0001318007455502268;99.9868;True
R8;LR0001;DO07;Reject H0;0.03;-3.1797;0.0051890970145433545;99.4811;True
R8;LR0001;DO08;Reject H0;0.03;-2.6707;0.01559100519966047;98.4409;True
R8;LR0001;DO09;Fail to reject H0;0.03;-1.0779;0.3027315038575182;69.7268;False
R8;LR0001;HD50;Fail to reject H0;0.03;-0.2842;0.781244152829646;21.8756;False
R8;LR0001;HD350;Fail to reject H0;0.03;-0.4474;0.659895675820731;34.0104;True
R8;LR0001;HD500;Reject H0;0.03;2.8352;0.010974889279780388;98.9025;True
R8;LR00001;DO01;Reject H0;0.03;-4.4555;0.00030559890868409544;99.9694;True
R8;LR00001;DO02;Reject H0;0.03;-4.1435;0.0006101906869699047;99.939;True
R8;LR00001;DO03;Fail to reject H0;0.03;-2.3446;0.035689458243893836;96.4311;False
R8;LR00001;DO04;Reject H0;0.03;-4.4663;0.00029839049673687895;99.9702;True
R8;LR00001;DO05;Reject H0;0.03;-4.0683;0.0016321639935609423;99.8368;False
R8;LR00001;DO06;Reject H0;0.03;-6.5633;3.630154683780655e-06;99.9996;True
R8;LR00001;DO07;Reject H0;0.03;-4.9207;0.00011025071109980157;99.989;True
R8;LR00001;DO08;Reject H0;0.03;-3.7014;0.002975093409918127;99.7025;False
R8;LR00001;DO09;Fail to reject H0;0.03;-1.7161;0.11555283384722881;88.4447;False
R8;LR00001;HD50;Fail to reject H0;0.03;-0.8922;0.39235737573044505;60.7643;False
R8;LR00001;HD350;Fail to reject H0;0.03;-1.4809;0.15592212272994385;84.4078;True
R8;LR00001;HD500;Fail to reject H0;0.03;1.9495;0.06699727630018085;93.3003;True
R8;DO01;DO02;Fail to reject H0;0.03;0.7828;0.4439231712938;55.6077;True
R8;DO01;DO03;Fail to reject H0;0.03;1.4416;0.16658754385638871;83.3412;True
R8;DO01;DO04;Fail to reject H0;0.03;-0.101;0.9206773787437739;7.9323;True
R8;DO01;DO05;Fail to reject H0;0.03;-0.516;0.6121227882922864;38.7877;True
R8;DO01;DO06;Fail to reject H0;0.03;-1.2045;0.24400591612145225;75.5994;True
R8;DO01;DO07;Fail to reject H0;0.03;0.4626;0.6491603347422107;35.084;True
R8;DO01;DO08;Fail to reject H0;0.03;-0.0039;0.9969071730289207;0.3093;True
R8;DO01;DO09;Fail to reject H0;0.03;0.8176;0.4242913248896494;57.5709;True
R8;DO01;HD50;Fail to reject H0;0.03;1.5606;0.13602872957518608;86.3971;True
R8;DO01;HD350;Fail to reject H0;0.03;2.2904;0.03428704797440166;96.5713;True
R8;DO01;HD500;Reject H0;0.03;5.5333;2.9715188043002894e-05;99.997;True
R8;DO02;DO03;Fail to reject H0;0.03;0.8307;0.41702156711407967;58.2978;True
R8;DO02;DO04;Fail to reject H0;0.03;-0.8775;0.3917768724960732;60.8223;True
R8;DO02;DO05;Fail to reject H0;0.03;-1.1888;0.24995577003336578;75.0044;True
R8;DO02;DO06;Fail to reject H0;0.03;-2.1927;0.04171237292642288;95.8288;True
R8;DO02;DO07;Fail to reject H0;0.03;-0.3963;0.6965159412898188;30.3484;True
R8;DO02;DO08;Fail to reject H0;0.03;-0.6782;0.5062540285799313;49.3746;True
R8;DO02;DO09;Fail to reject H0;0.03;0.3527;0.7302294295819998;26.9771;False
R8;DO02;HD50;Fail to reject H0;0.03;1.1271;0.2811882579331053;71.8812;False
R8;DO02;HD350;Fail to reject H0;0.03;1.7365;0.09956190729898402;90.0438;True
R8;DO02;HD500;Reject H0;0.03;5.341;4.4648918351421754e-05;99.9955;True
R8;DO03;DO04;Fail to reject H0;0.03;-1.5157;0.14695661733392273;85.3043;True
R8;DO03;DO05;Fail to reject H0;0.03;-1.7266;0.10135901557451762;89.8641;True
R8;DO03;DO06;Reject H0;0.03;-2.6637;0.01582237038221769;98.4178;True
R8;DO03;DO07;Fail to reject H0;0.03;-1.1855;0.2512306092884752;74.8769;True
R8;DO03;DO08;Fail to reject H0;0.03;-1.2882;0.21399317984753297;78.6007;True
R8;DO03;DO09;Fail to reject H0;0.03;-0.1981;0.8452126807384018;15.4787;True
R8;DO03;HD50;Fail to reject H0;0.03;0.5307;0.6021291378957251;39.7871;True
R8;DO03;HD350;Fail to reject H0;0.03;0.7573;0.458694392788381;54.1306;True
R8;DO03;HD500;Reject H0;0.03;3.5037;0.0025355873666959338;99.7464;True
R8;DO04;DO05;Fail to reject H0;0.03;-0.4246;0.6761558129813283;32.3844;True
R8;DO04;DO06;Fail to reject H0;0.03;-1.0734;0.29726279055420635;70.2737;True
R8;DO04;DO07;Fail to reject H0;0.03;0.5672;0.5776169485014584;42.2383;True
R8;DO04;DO08;Fail to reject H0;0.03;0.0853;0.9329271709637362;6.7073;True
R8;DO04;DO09;Fail to reject H0;0.03;0.8796;0.3906604834707499;60.934;True
R8;DO04;HD50;Fail to reject H0;0.03;1.6168;0.12331083043659889;87.6689;True
R8;DO04;HD350;Fail to reject H0;0.03;2.3527;0.03021418057830566;96.9786;True
R8;DO04;HD500;Reject H0;0.03;5.5273;3.009648818746451e-05;99.997;True
R8;DO05;DO06;Fail to reject H0;0.03;-0.4491;0.6587454041728213;34.1255;True
R8;DO05;DO07;Fail to reject H0;0.03;0.9365;0.3614182138090185;63.8582;True
R8;DO05;DO08;Fail to reject H0;0.03;0.4666;0.6463759963941089;35.3624;True
R8;DO05;DO09;Fail to reject H0;0.03;1.128;0.27412216469207384;72.5878;True
R8;DO05;HD50;Fail to reject H0;0.03;1.8098;0.08705960330461406;91.294;True
R8;DO05;HD350;Reject H0;0.03;2.4454;0.024980830291285876;97.5019;True
R8;DO05;HD500;Reject H0;0.03;5.0064;9.156609013154961e-05;99.9908;True
R8;DO06;DO07;Fail to reject H0;0.03;1.9107;0.07210145010754303;92.7899;True
R8;DO06;DO08;Fail to reject H0;0.03;1.0386;0.3127443829738187;68.7256;True
R8;DO06;DO09;Fail to reject H0;0.03;1.6175;0.1303813100558462;86.9619;False
R8;DO06;HD50;Fail to reject H0;0.03;2.379;0.03387764605083412;96.6122;False
R8;DO06;HD350;Reject H0;0.03;3.6227;0.0019462751101286516;99.8054;True
R8;DO06;HD500;Reject H0;0.03;7.5185;5.864550672173534e-07;99.9999;True
R8;DO07;DO08;Fail to reject H0;0.03;-0.3986;0.6948491725308005;30.5151;True
R8;DO07;DO09;Fail to reject H0;0.03;0.5759;0.5755757405629736;42.4424;False
R8;DO07;HD50;Fail to reject H0;0.03;1.3608;0.1991777141814312;80.0822;False
R8;DO07;HD350;Fail to reject H0;0.03;2.1416;0.0461531173080199;95.3847;True
R8;DO07;HD500;Reject H0;0.03;6.0753;9.662303962286415e-06;99.999;True
R8;DO08;DO09;Fail to reject H0;0.03;0.7718;0.450223219384432;54.9777;True
R8;DO08;HD50;Fail to reject H0;0.03;1.4715;0.15841809446828958;84.1582;True
R8;DO08;HD350;Fail to reject H0;0.03;2.03;0.05740608688223199;94.2594;True
R8;DO08;HD500;Reject H0;0.03;4.7012;0.0001779862083429232;99.9822;True
R8;DO09;HD50;Fail to reject H0;0.03;0.6005;0.5556549668437308;44.4345;True
R8;DO09;HD350;Fail to reject H0;0.03;0.7428;0.467202559810203;53.2797;True
R8;DO09;HD500;Reject H0;0.03;2.5353;0.02684376695147225;97.3156;False
R8;HD50;HD350;Fail to reject H0;0.03;0.0;1.0;0.0;True
R8;HD50;HD500;Fail to reject H0;0.03;1.7297;0.11037432000760432;88.9626;False
R8;HD350;HD500;Reject H0;0.03;2.7451;0.013311270967101007;98.6689;True
R52;ES10;ES100;Fail to reject H0;0.03;-0.8415;0.41109312319132096;58.8907;True
R52;ES10;ES1000;Fail to reject H0;0.03;-2.236;0.03825102702516166;96.1749;True
R52;ES10;LR01;Reject H0;0.03;6.1853;7.728251442947448e-06;99.9992;True
R52;ES10;LR001;Reject H0;0.03;2.5548;0.01990103495712385;98.0099;True
R52;ES10;LR0001;Reject H0;0.03;9.7286;1.3615423986993602e-08;100.0;True
R52;ES10;LR00001;Reject H0;0.03;55.8991;1.2334150889965263e-21;100.0;True
R52;ES10;DO01;Fail to reject H0;0.03;-2.0532;0.06069563499336377;93.9304;False
R52;ES10;DO02;Fail to reject H0;0.03;-0.882;0.38941385970919873;61.0586;True
R52;ES10;DO03;Fail to reject H0;0.03;-0.162;0.873088372815561;12.6912;True
R52;ES10;DO04;Fail to reject H0;0.03;-0.5579;0.5838178677563355;41.6182;True
R52;ES10;DO05;Fail to reject H0;0.03;-0.6415;0.5292646061043662;47.0735;True
R52;ES10;DO06;Reject H0;0.03;2.8961;0.009625276502645231;99.0375;True
R52;ES10;DO07;Fail to reject H0;0.03;2.225;0.039106667018488764;96.0893;True
R52;ES10;DO08;Reject H0;0.03;2.7047;0.01823695672229641;98.1763;False
R52;ES10;DO09;Reject H0;0.03;8.8648;5.5138507829087754e-08;100.0;True
R52;ES10;HD50;Reject H0;0.03;6.4483;5.117431711372713e-05;99.9949;False
R52;ES10;HD350;Fail to reject H0;0.03;-0.9359;0.36169698918516624;63.8303;True
R52;ES10;HD500;Fail to reject H0;0.03;-1.1124;0.280591031602401;71.9409;True
R52;ES100;ES1000;Fail to reject H0;0.03;-1.7535;0.09653374642169191;90.3466;True
R52;ES100;LR01;Reject H0;0.03;7.2758;9.570560282604062e-06;99.999;False
R52;ES100;LR001;Reject H0;0.03;3.6859;0.0016908947397837005;99.8309;True
R52;ES100;LR0001;Reject H0;0.03;10.788;3.2448429515578526e-07;100.0;False
R52;ES100;LR00001;Reject H0;0.03;69.8049;2.301894117022429e-23;100.0;True
R52;ES100;DO01;Fail to reject H0;0.03;-1.514;0.14739402646603417;85.2606;True
R52;ES100;DO02;Fail to reject H0;0.03;-0.1175;0.9077698380869419;9.223;True
R52;ES100;DO03;Fail to reject H0;0.03;0.9119;0.3738634020398579;62.6137;True
R52;ES100;DO04;Fail to reject H0;0.03;0.2223;0.8265468390442745;17.3453;True
R52;ES100;DO05;Fail to reject H0;0.03;0.1096;0.9139333027315333;8.6067;True
R52;ES100;DO06;Reject H0;0.03;4.2456;0.000486369945192025;99.9514;True
R52;ES100;DO07;Reject H0;0.03;2.9542;0.012227903650512177;98.7772;False
R52;ES100;DO08;Reject H0;0.03;3.3032;0.007185897087448766;99.2814;False
R52;ES100;DO09;Reject H0;0.03;10.1239;3.4447152595632687e-07;100.0;False
R52;ES100;HD50;Reject H0;0.03;6.9341;4.3403587765112444e-05;99.9957;False
R52;ES100;HD350;Fail to reject H0;0.03;-0.2561;0.8007483815283498;19.9252;True
R52;ES100;HD500;Fail to reject H0;0.03;-0.2863;0.7779372339442838;22.2063;True
R52;ES1000;LR01;Reject H0;0.03;8.266;3.0297341542712843e-06;99.9997;False
R52;ES1000;LR001;Reject H0;0.03;4.9873;9.543971846110188e-05;99.9905;True
R52;ES1000;LR0001;Reject H0;0.03;11.6272;1.7693939115560176e-07;100.0;False
R52;ES1000;LR00001;Reject H0;0.03;72.9028;1.0562801737619894e-23;100.0;True
R52;ES1000;DO01;Fail to reject H0;0.03;0.4709;0.6433363173028839;35.6664;True
R52;ES1000;DO02;Fail to reject H0;0.03;1.4507;0.16408082376921207;83.5919;True
R52;ES1000;DO03;Reject H0;0.03;2.7973;0.011905768253508144;98.8094;True
R52;ES1000;DO04;Fail to reject H0;0.03;1.6796;0.11030425317733658;88.9696;True
R52;ES1000;DO05;Fail to reject H0;0.03;1.5345;0.14229957379476085;85.77;True
R52;ES1000;DO06;Reject H0;0.03;5.7053;2.0724741138495983e-05;99.9979;True
R52;ES1000;DO07;Reject H0;0.03;3.8798;0.0023370593630676686;99.7663;False
R52;ES1000;DO08;Reject H0;0.03;4.0587;0.002011101739986102;99.7989;False
R52;ES1000;DO09;Reject H0;0.03;11.1038;1.549174618247352e-07;100.0;False
R52;ES1000;HD50;Reject H0;0.03;7.4648;2.4395612660345632e-05;99.9976;False
R52;ES1000;HD350;Fail to reject H0;0.03;1.1143;0.27981265914440506;72.0187;True
R52;ES1000;HD500;Fail to reject H0;0.03;1.6499;0.11630671993214234;88.3693;True
R52;LR01;LR001;Reject H0;0.03;-3.9972;0.0008451509513079183;99.9155;True
R52;LR01;LR0001;Reject H0;0.03;3.8306;0.0012248942898364342;99.8775;True
R52;LR01;LR00001;Reject H0;0.03;32.5461;1.1388622540204345e-13;100.0;False
R52;LR01;DO01;Reject H0;0.03;-8.3004;5.870022244406019e-06;99.9994;False
R52;LR01;DO02;Reject H0;0.03;-7.1026;1.277473672479682e-06;99.9999;True
R52;LR01;DO03;Reject H0;0.03;-6.9172;2.0824985695291515e-05;99.9979;False
R52;LR01;DO04;Reject H0;0.03;-6.7106;2.718647267501453e-06;99.9997;True
R52;LR01;DO05;Reject H0;0.03;-6.7255;2.640949984660439e-06;99.9997;True
R52;LR01;DO06;Reject H0;0.03;-4.0714;0.0007164213801161932;99.9284;True
R52;LR01;DO07;Reject H0;0.03;-3.1613;0.00540320877890161;99.4597;True
R52;LR01;DO08;Fail to reject H0;0.03;-2.0406;0.0562324277972804;94.3768;True
R52;LR01;DO09;Reject H0;0.03;2.3611;0.0296979426192028;97.0302;True
R52;LR01;HD50;Reject H0;0.03;2.6504;0.016273462201459993;98.3727;True
R52;LR01;HD350;Reject H0;0.03;-6.8656;2.0116412687492465e-06;99.9998;True
R52;LR01;HD500;Reject H0;0.03;-7.622;1.0336106923135333e-05;99.999;False
R52;LR001;LR0001;Reject H0;0.03;7.7586;3.7805919237059133e-07;100.0;True
R52;LR001;LR00001;Reject H0;0.03;48.4476;1.593914847066683e-20;100.0;True
R52;LR001;DO01;Reject H0;0.03;-4.9692;0.000312080156142949;99.9688;False
R52;LR001;DO02;Reject H0;0.03;-3.5664;0.002205900772263027;99.7794;True
R52;LR001;DO03;Reject H0;0.03;-3.1516;0.0055189685915703396;99.4481;True
R52;LR001;DO04;Reject H0;0.03;-3.152;0.005514225108803427;99.4486;True
R52;LR001;DO05;Reject H0;0.03;-3.1976;0.004988217155524166;99.5012;True
R52;LR001;DO06;Fail to reject H0;0.03;0.1288;0.8989518875350724;10.1048;True
R52;LR001;DO07;Fail to reject H0;0.03;0.249;0.8062116931338728;19.3788;True
R52;LR001;DO08;Fail to reject H0;0.03;1.0281;0.3175374952896202;68.2463;True
R52;LR001;DO09;Reject H0;0.03;6.6307;3.1795293182346494e-06;99.9997;True
R52;LR001;HD50;Reject H0;0.03;5.1958;0.00026746518930921093;99.9733;False
R52;LR001;HD350;Reject H0;0.03;-3.4192;0.0030589390200907226;99.6941;True
R52;LR001;HD500;Reject H0;0.03;-4.0691;0.0013445953452341692;99.8655;False
R52;LR0001;LR00001;Reject H0;0.03;22.8368;5.3542820070251664e-11;100.0;False
R52;LR0001;DO01;Reject H0;0.03;-11.6928;3.4875693061995584e-07;100.0;False
R52;LR0001;DO02;Reject H0;0.03;-10.5899;1.913438383226044e-07;100.0;False
R52;LR0001;DO03;Reject H0;0.03;-10.5125;5.964185232613755e-07;99.9999;False
R52;LR0001;DO04;Reject H0;0.03;-10.2122;1.6738298631000647e-07;100.0;False
R52;LR0001;DO05;Reject H0;0.03;-10.2114;1.441034030381743e-07;100.0;False
R52;LR0001;DO06;Reject H0;0.03;-7.9239;2.279752483234443e-06;99.9998;False
R52;LR0001;DO07;Reject H0;0.03;-6.6082;3.3234485400574726e-06;99.9997;True
R52;LR0001;DO08;Reject H0;0.03;-5.2586;5.3225248111256495e-05;99.9947;True
R52;LR0001;DO09;Fail to reject H0;0.03;-1.6591;0.11442799271354234;88.5572;True
R52;LR0001;HD50;Fail to reject H0;0.03;-0.1374;0.8922343369854023;10.7766;True
R52;LR0001;HD350;Reject H0;0.03;-10.3085;5.584074055444901e-09;100.0;True
R52;LR0001;HD500;Reject H0;0.03;-11.116;4.4266218826039843e-07;100.0;False
R52;LR00001;DO01;Reject H0;0.03;-80.2509;1.8847937279208242e-24;100.0;True
R52;LR00001;DO02;Reject H0;0.03;-63.6073;1.219317758006682e-22;100.0;True
R52;LR00001;DO03;Reject H0;0.03;-72.5251;1.1594550234291266e-23;100.0;True
R52;LR00001;DO04;Reject H0;0.03;-59.1091;4.53797650503148e-22;100.0;True
R52;LR00001;DO05;Reject H0;0.03;-58.1079;6.162350345431486e-22;100.0;True
R52;LR00001;DO06;Reject H0;0.03;-53.1355;3.056301957201223e-21;100.0;True
R52;LR00001;DO07;Reject H0;0.03;-35.4373;6.485499352044338e-14;100.0;False
R52;LR00001;DO08;Reject H0;0.03;-28.3256;7.735851526416953e-12;100.0;False
R52;LR00001;DO09;Reject H0;0.03;-28.6968;7.942692338334135e-13;100.0;False
R52;LR00001;HD50;Reject H0;0.03;-15.2873;2.6883008212824836e-08;100.0;False
R52;LR00001;HD350;Reject H0;0.03;-56.6604;9.681302378675093e-22;100.0;True
R52;LR00001;HD500;Reject H0;0.03;-76.3342;4.627351915686186e-24;100.0;True
R52;DO01;DO02;Fail to reject H0;0.03;1.1908;0.2492149377989587;75.0785;True
R52;DO01;DO03;Reject H0;0.03;2.7043;0.014517324734846826;98.5483;True
R52;DO01;DO04;Fail to reject H0;0.03;1.4506;0.1640958821670944;83.5904;True
R52;DO01;DO05;Fail to reject H0;0.03;1.297;0.21102420401651267;78.8976;True
R52;DO01;DO06;Reject H0;0.03;5.7763;6.169602896114587e-05;99.9938;False
R52;DO01;DO07;Reject H0;0.03;3.7764;0.0033426808076399655;99.6657;False
R52;DO01;DO08;Reject H0;0.03;3.9613;0.00271231412447091;99.7288;False
R52;DO01;DO09;Reject H0;0.03;11.2139;3.5720055121066814e-07;100.0;False
R52;DO01;HD50;Reject H0;0.03;7.4124;3.137167585151829e-05;99.9969;False
R52;DO01;HD350;Fail to reject H0;0.03;0.8523;0.4095295788227816;59.047;False
R52;DO01;HD500;Fail to reject H0;0.03;1.3905;0.1813370233550815;81.8663;True
R52;DO02;DO03;Fail to reject H0;0.03;0.9341;0.36260580089497485;63.7394;True
R52;DO02;DO04;Fail to reject H0;0.03;0.3071;0.762264848867501;23.7735;True
R52;DO02;DO05;Fail to reject H0;0.03;0.2012;0.8428237033461677;15.7176;True
R52;DO02;DO06;Reject H0;0.03;4.0536;0.0007452695236060361;99.9255;True
R52;DO02;DO07;Reject H0;0.03;2.9289;0.011715553602014143;98.8284;False
R52;DO02;DO08;Reject H0;0.03;3.2883;0.006721149736721768;99.3279;False
R52;DO02;DO09;Reject H0;0.03;9.8714;1.962369362089723e-07;100.0;False
R52;DO02;HD50;Reject H0;0.03;6.9003;3.706080182357033e-05;99.9963;False
R52;DO02;HD350;Fail to reject H0;0.03;-0.1427;0.8880883239615855;11.1912;True
R52;DO02;HD500;Fail to reject H0;0.03;-0.1254;0.9016245378944969;9.8375;True
R52;DO03;DO04;Fail to reject H0;0.03;-0.5168;0.6115905311394669;38.8409;True
R52;DO03;DO05;Fail to reject H0;0.03;-0.6178;0.5444476627670691;45.5552;True
R52;DO03;DO06;Reject H0;0.03;3.6835;0.001699955059989248;99.83;True
R52;DO03;DO07;Reject H0;0.03;2.5389;0.027145420305423777;97.2855;False
R52;DO03;DO08;Reject H0;0.03;2.9615;0.013639049794623992;98.6361;False
R52;DO03;DO09;Reject H0;0.03;9.8162;7.285569045610368e-07;99.9999;False
R52;DO03;HD50;Reject H0;0.03;6.7076;6.246649330196335e-05;99.9938;False
R52;DO03;HD350;Fail to reject H0;0.03;-0.9705;0.3446635806519449;65.5336;True
R52;DO03;HD500;Fail to reject H0;0.03;-1.3264;0.20129921520616312;79.8701;True
R52;DO04;DO05;Fail to reject H0;0.03;-0.0953;0.9251608777062943;7.4839;True
R52;DO04;DO06;Reject H0;0.03;3.5638;0.0022188126282088215;99.7781;True
R52;DO04;DO07;Reject H0;0.03;2.6588;0.01598706364779001;98.4013;True
R52;DO04;DO08;Reject H0;0.03;3.0672;0.009503729074252192;99.0496;False
R52;DO04;DO09;Reject H0;0.03;9.4237;2.2086640738570212e-08;100.0;True
R52;DO04;HD50;Reject H0;0.03;6.7232;3.959889034085763e-05;99.996;False
R52;DO04;HD350;Fail to reject H0;0.03;-0.4139;0.6838600950958226;31.614;True
R52;DO04;HD500;Fail to reject H0;0.03;-0.4692;0.6445924780872361;35.5408;True
