Dataset;Experiment;Experiment Name;Experiment Mean;Experiment Std;Original Mean;Original Std;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Higher Mean;Difference (Experiment-Original);Equal Variance?
Ohsumed;5;LR0001;0.6766;0.0017;0.6836;0.0056;Reject H0;0.03;3.7591;0.003292863948559394;99.6707;Original;-0.007;False
Ohsumed;6;LR00001;0.671;0.0025;0.6836;0.0056;Reject H0;0.03;6.4662;2.519382072479494e-05;99.9975;Original;-0.0126;False
Ohsumed;7;DO01;0.6886;0.0018;0.6836;0.0056;Reject H0;0.03;-2.692;0.02131074972234111;97.8689;Experiment;0.005;False
Ohsumed;8;DO02;0.6879;0.0019;0.6836;0.0056;Fail to reject H0;0.03;-2.3183;0.04070419218208986;95.9296;Experiment;0.0043;False
Ohsumed;9;DO03;0.6884;0.0015;0.6836;0.0056;Reject H0;0.03;-2.6072;0.02568946142864293;97.4311;Experiment;0.0048;False
Ohsumed;10;DO04;0.6874;0.0012;0.6836;0.0056;Fail to reject H0;0.03;-2.0898;0.06365917113048207;93.6341;Experiment;0.0038;False
Ohsumed;11;DO05;0.6866;0.0016;0.6836;0.0056;Fail to reject H0;0.03;-1.6238;0.13401213397483538;86.5988;Experiment;0.003;False
Ohsumed;12;DO06;0.6853;0.0019;0.6836;0.0056;Fail to reject H0;0.03;-0.8877;0.3936517906356567;60.6348;Experiment;0.0017;False
Ohsumed;13;DO07;0.6862;0.0028;0.6836;0.0056;Fail to reject H0;0.03;-1.2986;0.21047832334244457;78.9522;Experiment;0.0026;True
Ohsumed;14;DO08;0.6841;0.0031;0.6836;0.0056;Fail to reject H0;0.03;-0.2566;0.8003654995152144;19.9635;Experiment;0.0005;True
Ohsumed;15;DO09;0.682;0.0033;0.6836;0.0056;Fail to reject H0;0.03;0.7953;0.4367988178375546;56.3201;Original;-0.0016;True
Ohsumed;16;HD50;0.6787;0.0019;0.6836;0.0056;Reject H0;0.03;2.6391;0.02284123643529677;97.7159;Original;-0.0049;False
Ohsumed;17;HD350;0.6875;0.0021;0.6836;0.0056;Fail to reject H0;0.03;-2.0375;0.06522440056494312;93.4776;Experiment;0.0039;False
Ohsumed;18;HD500;0.688;0.0018;0.6836;0.0056;Fail to reject H0;0.03;-2.3792;0.036804657103760886;96.3195;Experiment;0.0044;False
